"ID_BANDERA","ID_LOCAL","FECHA","MONTO","CANTIDAD","FERIADO","DIA_1","DIA_2","DIA_3","DIA_4","DIA_5","DIA_6","DIA_7","MES_1","MES_2","MES_3","MES_4","MES_5","MES_6","MES_7","MES_8","MES_9","MES_10","MES_11","MES_12"
"B",1,2024-05-13,5424.9998,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-03-18,4580,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-16,14885,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-08,15709.9989,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-23,8459.9994,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-05-25,18643.9982,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-04-30,12295,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-03-10,19610,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-13,6870,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-05-10,26339.998,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-03-17,13985,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-15,7865,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-05-15,5425,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-18,25885,23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-03-11,3021,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-14,4580,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-05-27,1145,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-13,3435,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-20,22900,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-14,11450,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-04-22,5509.9996,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-05-30,6869.9994,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",1,2024-05-03,38329.9961,34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",1,2024-05-11,6027.9997,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"B",1,2024-05-24,18027.9983,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",1,2024-04-26,28419.9976,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-29,20009.9981,23,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-24,24359.9974,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-10,5273.9994,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
